test,provider,result,scored,type,description,file
3.1.1,aws,PASS,false,Manual,Ensure that the kubeconfig file permissions are set to 644 or more restrictive (Manual),aws_output.json
3.1.2,aws,PASS,false,Manual,Ensure that the kubelet kubeconfig file ownership is set to root:root (Manual),aws_output.json
3.1.3,aws,PASS,false,Manual,Ensure that the kubelet configuration file has permissions set to 644 or more restrictive (Manual),aws_output.json
3.1.4,aws,PASS,false,Manual,Ensure that the kubelet configuration file ownership is set to root:root (Manual),aws_output.json
3.2.1,aws,PASS,true,Automated,Ensure that the Anonymous Auth is Not Enabled (Automated),aws_output.json
3.2.2,aws,PASS,true,Automated,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Automated),aws_output.json
3.2.3,aws,PASS,false,Manual,Ensure that a Client CA File is Configured (Manual),aws_output.json
3.2.4,aws,PASS,false,Manual,Ensure that the --read-only-port is disabled (Manual),aws_output.json
3.2.5,aws,PASS,true,Automated,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Automated),aws_output.json
3.2.6,aws,PASS,true,Automated,Ensure that the --protect-kernel-defaults argument is set to true (Automated),aws_output.json
3.2.7,aws,PASS,true,Automated,Ensure that the --make-iptables-util-chains argument is set to true (Automated) ,aws_output.json
3.2.8,aws,WARN,false,Manual,Ensure that the --hostname-override argument is not set (Manual),aws_output.json
3.2.9,aws,WARN,false,Automated,Ensure that the --eventRecordQPS argument is set to 0 or a level which ensures appropriate event capture (Automated),aws_output.json
3.2.10,aws,PASS,false,Manual,Ensure that the --rotate-certificates argument is not present or is set to true (Manual),aws_output.json
3.2.11,aws,PASS,false,Manual,Ensure that the RotateKubeletServerCertificate argument is set to true (Manual),aws_output.json
3.3.1,aws,WARN,false,Manual,Prefer using a container-optimized OS when possible (Manual),aws_output.json
4.1.1,aws,WARN,false,Manual,Ensure that the cluster-admin role is only used where required (Manual),aws_output.json
4.1.2,aws,WARN,false,Manual,Minimize access to secrets (Manual),aws_output.json
4.1.3,aws,WARN,false,Manual,Minimize wildcard use in Roles and ClusterRoles (Manual),aws_output.json
4.1.4,aws,WARN,false,Manual,Minimize access to create pods (Manual),aws_output.json
4.1.5,aws,WARN,false,Manual,Ensure that default service accounts are not actively used. (Manual),aws_output.json
4.1.6,aws,WARN,false,Manual,Ensure that Service Account Tokens are only mounted where necessary (Manual),aws_output.json
4.1.7,aws,WARN,false,Manual,Avoid use of system:masters group (Manual),aws_output.json
4.1.8,aws,WARN,false,Manual,Limit use of the Bind- Impersonate and Escalate permissions in the Kubernetes cluster (Manual),aws_output.json
4.2.1,aws,WARN,false,Automated,Minimize the admission of privileged containers (Automated),aws_output.json
4.2.2,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host process ID namespace (Automated),aws_output.json
4.2.3,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host IPC namespace (Automated),aws_output.json
4.2.4,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host network namespace (Automated),aws_output.json
4.2.5,aws,WARN,false,Automated,Minimize the admission of containers with allowPrivilegeEscalation (Automated),aws_output.json
4.2.6,aws,WARN,false,Automated,Minimize the admission of root containers (Automated),aws_output.json
4.2.7,aws,WARN,false,Manual,Minimize the admission of containers with added capabilities (Manual),aws_output.json
4.2.8,aws,WARN,false,Manual,Minimize the admission of containers with capabilities assigned (Manual),aws_output.json
4.3.1,aws,WARN,false,Manual,Ensure CNI plugin supports network policies (Manual),aws_output.json
4.3.2,aws,WARN,false,Manual,Ensure that all Namespaces have Network Policies defined (Manual),aws_output.json
4.4.1,aws,WARN,false,Manual,Prefer using secrets as files over secrets as environment variables (Manual),aws_output.json
4.4.2,aws,WARN,false,Manual,Consider external secret storage (Manual),aws_output.json
4.6.1,aws,WARN,false,Manual,Create administrative boundaries between resources using namespaces (Manual),aws_output.json
4.6.2,aws,WARN,false,Manual,Apply Security Context to Your Pods and Containers (Manual),aws_output.json
4.6.3,aws,WARN,false,Manual,The default namespace should not be used (Manual),aws_output.json
5.1.1,aws,WARN,false,Manual,Ensure Image Vulnerability Scanning using Amazon ECR image scanning or a third-party provider (Manual),aws_output.json
5.1.2,aws,WARN,false,Manual,Minimize user access to Amazon ECR (Manual),aws_output.json
5.1.3,aws,WARN,false,Manual,Minimize cluster access to read-only for Amazon ECR (Manual),aws_output.json
5.1.4,aws,WARN,false,Manual,Minimize Container Registries to only those approved (Manual),aws_output.json
5.2.1,aws,WARN,false,Manual,Prefer using dedicated Amazon EKS Service Accounts (Manual),aws_output.json
5.3.1,aws,WARN,false,Manual,Ensure Kubernetes Secrets are encrypted using Customer Master Keys (CMKs) managed in AWS KMS (Manual),aws_output.json
5.4.1,aws,WARN,false,Manual,Restrict Access to the Control Plane Endpoint (Manual),aws_output.json
5.4.2,aws,WARN,false,Manual,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled (Manual),aws_output.json
5.4.3,aws,WARN,false,Manual,Ensure clusters are created with Private Nodes (Manual),aws_output.json
5.4.4,aws,WARN,false,Manual,Ensure Network Policy is Enabled and set as appropriate (Manual),aws_output.json
5.4.5,aws,WARN,false,Manual,Encrypt traffic to HTTPS load balancers with TLS certificates (Manual),aws_output.json
5.5.1,aws,WARN,false,Manual,Manage Kubernetes RBAC users with AWS IAM Authenticator for Kubernetes (Manual),aws_output.json
5.6.1,aws,WARN,false,Manual,Consider Fargate for running untrusted workloads (Manual),aws_output.json
3.1.1,azure,PASS,false,Manual,Ensure that the kubeconfig file permissions are set to 644 or more restrictive (Manual),azure_bench_scan.json
