Name,Description,Status,Star Count,Pull Count,Last Updated,Low - Fixable,Low - No Fix,Medium - Fixable,Medium - No Fix,High - Fixable,High - No Fix,Critical - Fixable,Critical - No Fix,Unspecified - Fixable,Unspecified - No Fix
centos,DEPRECATED; The official build of CentOS.,active,7659,1132519505,2022-12-09T19:13:54.287062Z,20,10,136,23,21,4,0,0,0,0
busybox,Busybox base image.,active,3118,8276724970,2023-07-19T00:02:43.49452Z,0,0,0,0,0,0,0,0,0,0
ubuntu,Ubuntu is a Debian-based Linux operating system based on free software.,active,16519,8136854258,2023-10-13T09:41:55.011281Z,3,9,1,3,0,0,0,0,0,0
scratch,an explicitly empty image especially for building images "FROM scratch",active,948,268577,2013-06-25T00:07:08Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
fedora,Official Docker builds of Fedora,active,1174,114530317,2023-10-09T23:21:03.463741Z,0,0,0,0,0,0,0,0,0,0
registry,Distribution implementation for storing and distributing of container images and artifacts,active,3903,1616002589,2023-10-21T03:31:29.873686Z,0,0,0,0,1,0,0,0,2,0
hipache,DEPRECATED (upstream); use "traefik" "nginx" "haproxy" "httpd" instead,active,85,433214,2016-06-01T23:19:03.96624Z,254,206,432,34,73,17,2,0,4,0
docker-dev,DEPRECATED; use https://github.com/moby/moby/blob/master/Dockerfile,active,103,2573604,2016-03-29T23:38:26.378586Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
debian,Debian is a Linux distribution that's composed entirely of free and open-source software.,active,4822,1130823288,2023-10-11T19:01:46.824242Z,0,16,0,0,0,0,0,1,0,0
cirros,CirrOS is a Tiny OS that specializes in running on a cloud.,active,78,6503552,2023-06-01T18:29:53.568686Z,0,0,0,0,0,0,0,0,0,0
crux,DEPRECATED; lacking active maintainer,active,40,867447,2020-09-16T19:22:24.585172Z,0,0,0,0,0,0,0,0,0,0
ubuntu-upstart,DEPRECATED as is Upstart (find other process supervisor!),active,115,1754812,2016-04-04T21:21:19.946273Z,204,60,226,18,17,0,0,0,0,0
buildpack-deps,A collection of common build dependencies used for installing various modules e.g. gems.,active,660,223169767,2023-10-13T11:43:46.085276Z,1,82,0,7,0,0,0,1,0,0
nginx,Official build of Nginx.,active,19159,8573723816,2023-10-25T01:48:31.382698Z,0,34,0,3,0,0,0,1,0,0
node,Node.js is a JavaScript-based platform for server-side and networking applications.,active,13004,4665428867,2023-10-25T22:32:31.527977Z,1,82,0,7,0,0,0,1,0,0
mysql,MySQL is a widely used open-source relational database management system (RDBMS).,active,14552,3864873871,2023-10-27T18:04:13.112147Z,5,0,28,0,50,0,2,0,4,0
wordpress,The WordPress rich content management system can utilize plugins widgets and themes.,active,5382,1230555325,2023-10-26T01:55:48.65868Z,0,123,0,5,0,0,0,1,0,3
postgres,The PostgreSQL object-relational database system provides reliability and data integrity.,active,12734,5925679194,2023-10-17T20:28:01.983774Z,3,32,11,0,28,0,2,1,1,0
redis,Redis is an open source key-value store that functions as a data structure server.,active,12437,5994034865,2023-10-19T10:10:43.411154Z,3,19,11,0,28,0,2,1,1,0
java,DEPRECATED; use "openjdk" (or other JDK implementations) instead,active,1997,142205304,2017-03-23T17:58:27.550146Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
mongo,MongoDB document databases provide high availability and easy scalability.,active,9906,3928672726,2023-10-26T23:59:33.453908Z,5,11,12,3,28,0,2,0,1,0
rails,DEPRECATED; use "ruby" instead,active,908,8901139,2017-01-06T19:07:44.686101Z,7,1,40,0,69,0,16,0,13,0
